Scheme Code,Scheme Name
119177,Tata Mid Cap Growth Fund - Direct Plan Dividend
119178,Tata Mid Cap Growth Fund - Direct Plan Growth
119181,Daiwa Liquid Fund - Direct - Growth
119182,Tata Mid Cap Growth Fund - Direct Plan Bonus(Growth)
119184,Daiwa Treasury Advantage Fund - Direct - Growth
119186,Essel Ultra Short Term Fund - Direct Plan-Growth Option
119189,Tata Equity Management Fund - Direct Plan Growth
119194,Daiwa Industry Leaders Fund - Direct - Growth
119196,Daiwa Government Securities Fund - Short Term Plan - Direct - Growth Option
119202,Tata Equity Opportunities Fund -Direct Plan Growth
119205,DSP BlackRock Money Manager Fund - Direct Plan - Growth
119208,Morgan Stanley Multi Asset Fund- Plan A - Direct Growth Plan
119212,DSP BlackRock Small Cap Fund - Direct Plan - Growth
119215,Morgan Stanley Multi Asset Fund- Plan B - Direct Growth Plan
119218,DSP BlackRock Equity Opportunities Fund - Direct Plan - Growth
119226,DSP BlackRock Short Term Fund - Direct Plan - Growth
119227,Morgan Stanley Short Term Bond Fund - Direct Growth
119231,Tata Equity P/E Fund -Direct Plan Growth
119234,Tata Dividend Yield Fund-Direct Plan Growth
119239,DSP BlackRock Strategic Bond Fund - Direct Plan - Growth
119242,DSP BlackRock Tax Saver Fund - Direct Plan - Growth
119243,Tata Infrastructure Fund -Direct Plan Growth
119245,DSP BlackRock Technology.com Fund - Direct Plan - Growth
119247,DSP BlackRock India T.I.G.E.R. Fund - Direct Plan - Growth
119250,DSP BlackRock Top 100 Equity Fund - Direct Plan - Growth
119251,Tata Retirement Savings Fund-Direct Plan Growth
119252,DSP BlackRock US Flexible Equity Fund - Direct Plan - Growth
119255,Tata Retirement Savings Fund Moderate -Direct Plan Growth
119256,Tata Retirement Savings Fund Conservative-Direct Plan Growth
119259,Tata Indo-Global Infrastructure Fund-Direct Plan Growth
119269,Tata Growing Economies Infrastructure Fund Scheme A-Direct Plan Growth
119271,DSP BlackRock World Agriculture Fund - Direct Plan - Growth
119273,Tata Growing Economies Infrastructure Fund Scheme B-Direct Plan Growth
119275,DSP BlackRock World Energy Fund - Direct Plan - Growth
119277,DSP BlackRock World Gold Fund - Direct Plan - Growth
119279,DSP BlackRock World Mining Fund - Direct Plan - Growth
119283,L&T  Cash Fund - Direct Plan - Growth
119291,L&T Equity Fund-Direct Plan-Growth
119292,Union Equity Fund - Direct Plan - Growth Option
119296,Tata Young Citizens' Fund [Upto 3 years]-Direct Plan Growth
119298,L&T Dynamic Equity Fund-Direct Plan-Growth
119299,Tata Young Citizens' Fund [> 3 years upto 7 years]-Direct Plan Growth
119303,Union Liquid Fund - Direct Plan - Growth Option
119307,Union Tax Saver Scheme - Direct Plan - Growth Option
119308,L&T India Large Cap Fund - Direct Plan - Growth
119311,Union Dynamic Bond Fund - Direct Plan - Growth Option
119312,Tata Young Citizens' Fund-(After 7 years)-Direct Plan  Growth
119317,Baroda Pioneer PSU Bond Fund - Plan B (Direct) - Growth Option
119318,Union Short Term Fund - Direct Plan - Growth Option
119323,Tata Contra Fund -Direct Plan Growth
119326,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Growth Option
119327,Union Asset Allocation Fund - Direct Plan - Growth Option
119330,Union KBC Asset Allocation Fund - Conservative Plan - Direct Plan - Growth Option
119331,PineBridge India Equity Fund- Direct Plan- Growth Option
119333,Baroda Pioneer Banking and Financial Services Fund - Plan B (Direct) - Growth Option
